Word1	Word2	Similarity
oxenefordescire	oxenefordesire	0.9333333333333333
oxenefordescire	oxenefordescira	0.9333333333333333
wirecestrascira	wirecestrescira	0.9333333333333333
ierosolimitarum	ierosolimitanum	0.9333333333333333
eclesiasticorum	eclesiasticarum	0.9333333333333333
ireuocabiliter	inreuocabiliter	0.9333333333333333
saresbiriensium	saresburiensium	0.9333333333333333
bucinghamscira	bucingehamscira	0.9333333333333333
glowecestriensi	glouecestriensi	0.9333333333333333
berkelaihernes	berkelaihernese	0.9333333333333333
turstainewater	turstaineswater	0.9333333333333333
consideratione	considerationem	0.9333333333333333
administratione	administrationi	0.9333333333333333
administratione	aministratione	0.9333333333333333
aldermanesberia	aldermanesberi	0.9333333333333333
contradictiones	contradictionem	0.9333333333333333
contradictiones	contradictione	0.9333333333333333
arciepiscopatui	arciepiscopatum	0.9333333333333333
arciepiscopatui	arciepiscopatus	0.9333333333333333
arciepiscopatui	arciepiscopatu	0.9333333333333333
wirecestrescira	wirecestrescir	0.9333333333333333
wirecestrescira	wircestrescira	0.9333333333333333
huntedonescira	huntendonescira	0.9333333333333333
wirecestrescira	wirecestrescire	0.9333333333333333
rouecestrensis	rouercestrensis	0.9333333333333333
bucingehamscire	bucingehamscira	0.9333333333333333
constabularius	conestabularius	0.9333333333333333
wirecestrensis	wigrecestrensis	0.9333333333333333
disrationauimus	dirationauimus	0.9333333333333333
nortumberlandie	nortumberlandia	0.9333333333333333
huntendonescira	huntedonescira	0.9333333333333333
huntendonescira	huntendonscira	0.9333333333333333
ierosolimitanam	ierosolimitanum	0.9333333333333333
garantizabimus	gwarantizabimus	0.9333333333333333
garantizabimus	guarantizabimus	0.9333333333333333
wigresestrasia	wigresestrasira	0.9333333333333333
inreuocabiliter	ireuocabiliter	0.9333333333333333
excomunicationi	excomunicatione	0.9333333333333333
garentizabimus	guarentizabimus	0.9333333333333333
septentrionali	septentrionalis	0.9333333333333333
peregrinationem	peregrinatione	0.9333333333333333
quietaclamantia	quieteclamantia	0.9333333333333333
quietaclamantia	quietaclamancia	0.9333333333333333
quietaclamantia	quieticlamantia	0.9333333333333333
ierosolimitani	ierosolimitanis	0.9333333333333333
contemplationis	contemplationi	0.9333333333333333
nortumberlandia	nortumberlanda	0.9333333333333333
considerationem	consideratione	0.9333333333333333
wirecestresire	wirecestrescire	0.9333333333333333
gloucestrescire	gloucestresire	0.9333333333333333
ierosolimitanum	ierosolimitarum	0.9333333333333333
wirecestrescira	wirecestresira	0.9333333333333333
rationabiliter	irationabiliter	0.9333333333333333
contradictionem	contradictiones	0.9333333333333333
contradictionem	contradictione	0.9333333333333333
wirecestresira	wirecestrescira	0.9333333333333333
wigrecestrensis	wirecestrensis	0.9333333333333333
wigrecestrensis	wigrecestensis	0.9333333333333333
bucingehamscira	bucingehamscire	0.9333333333333333
bucingehamscira	bucinghamscira	0.9333333333333333
heortfordiscira	heortfordscira	0.9333333333333333
ierosolimitanum	ierosolimitanam	0.9333333333333333
gloucestrescire	gloucestreshire	0.9333333333333333
aldermanesberi	aldermanesberia	0.9333333333333333
calumpniabatur	calumpniabantur	0.9333333333333333
confederatione	confederationem	0.9333333333333333
heortfordscira	heortfordiscira	0.9333333333333333
gloucestriensi	glouecestriensi	0.9333333333333333
honorificentius	honorificetius	0.9333333333333333
glouecestriensi	gloucestriensi	0.9333333333333333
glouecestriensi	glowecestriensi	0.9333333333333333
eclesiasticarum	eclesiasticorum	0.9333333333333333
sumonitionibus	submonitionibus	0.9333333333333333
gloucestresire	gloucestrescire	0.9333333333333333
gloucestreshire	gloucestrescire	0.9333333333333333
consencientibus	consensientibus	0.9333333333333333
consuetudinarie	consuetudinarii	0.9333333333333333
quieticlamantia	quieteclamantia	0.9333333333333333
arciepiscopatum	arciepiscopatu	0.9333333333333333
consencientibus	consentientibus	0.9333333333333333
hereditabilter	hereditabiliter	0.9333333333333333
consuetudinarie	consuetudinario	0.9333333333333333
consuetudinarie	consuetudinaria	0.9333333333333333
arciepiscopatum	arciepiscopatui	0.9333333333333333
quieticlamantia	quietaclamantia	0.9333333333333333
westmonasterium	wesmonasterium	0.9333333333333333
oxenefordscira	oxenefordescira	0.9333333333333333
arcidiaconatuum	arcidiaconatum	0.9333333333333333
sanctimonialium	sanctimonalium	0.9333333333333333
malmesberiensi	malmesbiriensi	0.9285714285714286
hertfordescira	hertfordscira	0.9285714285714286
bermundeseiam	beremundeseiam	0.9285714285714286
prenominatarum	prenominatorum	0.9285714285714286
recuperationem	recuperatione	0.9285714285714286
sabesberiensis	saresberiensis	0.9285714285714286
cunestabulario	conestabulario	0.9285714285714286
recognouerunt	recongnouerunt	0.9285714285714286
sereberiensis	seresberiensis	0.9285714285714286
oxenefordsira	oxenefordshira	0.9285714285714286
oxenefordsira	oxenefordscira	0.9285714285714286
bristelmetona	bristelmetonam	0.9285714285714286
consecrationes	consecrationem	0.9285714285714286
congregationis	congregationi	0.9285714285714286
continentibus	contingentibus	0.9285714285714286
oxenefordscira	oxenefordscir	0.9285714285714286
beremundeseia	beremundesheia	0.9285714285714286
sabesberiensis	salesberiensis	0.9285714285714286
satisfactione	satisfactionem	0.9285714285714286
glocestriensi	gloucestriensi	0.9285714285714286
glecestriensis	glecestriensi	0.9285714285714286
arcidiaconali	arcidiaconalia	0.9285714285714286
constitueramus	constitueremus	0.9285714285714286
glecestriensis	glecestrensis	0.9285714285714286
rationabibiter	rationabititer	0.9285714285714286
rationabibiter	rationabiliter	0.9285714285714286
anatematizatus	anatematizamus	0.9285714285714286
glecestresira	glecestrescira	0.9285714285714286
herefordiensis	herfordiensis	0.9285714285714286
herefordiensis	herefordensis	0.9285714285714286
egneshamnensis	egneshamnensi	0.9285714285714286
augmentatione	augmentationem	0.9285714285714286
consecrationi	consecrationis	0.9285714285714286
beremundeseia	beremundeseiam	0.9285714285714286
constabulatum	conestabulatum	0.9285714285714286
disturbatione	disturbationem	0.9285714285714286
constabularius	constabularium	0.9285714285714286
confirmationum	confirmationem	0.9285714285714286
deliberationes	deliberatione	0.9285714285714286
presentationi	presentationis	0.9285714285714286
cristescercia	cristescerciam	0.9285714285714286
cantuariensius	cantuariensis	0.9285714285714286
cantuariensius	cantuariensium	0.9285714285714286
herefordensis	herefordiensis	0.9285714285714286
qualitercumque	qualitercunque	0.9285714285714286
wirecestrensis	wirecestrensi	0.9285714285714286
oxenefordscira	oxenefordscire	0.9285714285714286
lincolniescira	lincolniascira	0.9285714285714286
lincolniescira	lincolnescira	0.9285714285714286
confirmatione	confirmationem	0.9285714285714286
purificationem	purificatione	0.9285714285714286
comemorationem	comemorationum	0.9285714285714286
comemorationem	comemoratione	0.9285714285714286
herfordiensis	herefordiensis	0.9285714285714286
garentizabimus	garantizabimus	0.9285714285714286
confirmatione	confirmationes	0.9285714285714286
iurisdictionem	iurisdictione	0.9285714285714286
glecestrascira	glecestrescira	0.9285714285714286
deliberationes	deliberationem	0.9285714285714286
lundoniensibus	londoniensibus	0.9285714285714286
disturbationem	disturbatione	0.9285714285714286
coroborationem	coroboratione	0.9285714285714286
contemplationi	contemplatione	0.9285714285714286
constabularius	constabulariis	0.9285714285714286
conscriptionem	conscriptione	0.9285714285714286
statfordescir	statfordescira	0.9285714285714286
watrefordiensi	watrefordensi	0.9285714285714286
ueneratioribus	ueneratoribus	0.9285714285714286
constabulario	conestabulario	0.9285714285714286
renuntiauerunt	renunciauerunt	0.9285714285714286
consecrationes	consecrationis	0.9285714285714286
nortumbrelanda	nortumbreland	0.9285714285714286
calumniatores	calumpniatores	0.9285714285714286
consecrationes	consecratione	0.9285714285714286
supramemoratam	supramemorata	0.9285714285714286
contractauimus	contrectauimus	0.9285714285714286
recognoscentis	recognoscentes	0.9285714285714286
contradicentes	contradicente	0.9285714285714286
metropolitanum	metropolitanus	0.9285714285714286
supramemoratam	supramemoratum	0.9285714285714286
supramemoratam	supramemoratas	0.9285714285714286
ratihabitione	ratihabitionem	0.9285714285714286
calumpniatores	calumniatores	0.9285714285714286
constitueramus	constituerimus	0.9285714285714286
acquietationem	acquietatione	0.9285714285714286
quocienscunque	quocienscumque	0.9285714285714286
deliberatione	deliberationem	0.9285714285714286
deliberatione	deliberationes	0.9285714285714286
westmolendinum	estmolendinum	0.9285714285714286
contraditione	contradictione	0.9285714285714286
congregationum	congregationem	0.9285714285714286
salesbiriense	salesbiriensem	0.9285714285714286
recongnitionem	recognitionem	0.9285714285714286
recongnitionem	recongnitione	0.9285714285714286
perturbationem	perturbatione	0.9285714285714286
sarisburiensi	sarisburiensis	0.9285714285714286
supramemoratas	supramemoratam	0.9285714285714286
supramemoratas	supramemorata	0.9285714285714286
supramemoratas	supramemoratis	0.9285714285714286
britelmestuna	bristelmestuna	0.9285714285714286
constructionem	constructione	0.9285714285714286
administrandum	administrandam	0.9285714285714286
oxenefordshira	oxenefordscira	0.9285714285714286
comprehendimus	conprehendimus	0.9285714285714286
arcidiaconatus	arcidiaconatu	0.9285714285714286
arcidiaconatus	arcidiaconatum	0.9285714285714286
quocienscunque	quotienscunque	0.9285714285714286
ierosolimitani	ierosolimitano	0.9285714285714286
transgresione	transgresionem	0.9285714285714286
quieteclamauit	quietclamauit	0.9285714285714286
ratihabitionem	ratihabitione	0.9285714285714286
huntendonscira	huntedonscira	0.9285714285714286
huntedonescire	huntedonscire	0.9285714285714286
hiherfeldebec	higherfeldebec	0.9285714285714286
huntedonescire	huntedonescira	0.9285714285714286
beremundesheia	beremundeseia	0.9285714285714286
ierosolimitani	ierusolimitani	0.9285714285714286
conseruatione	conseruationem	0.9285714285714286
wirecestresire	wirecestresira	0.9285714285714286
esterlingorum	esterlinggorum	0.9285714285714286
esterlingorum	esterlinghorum	0.9285714285714286
ierosolimitani	ierisolimitani	0.9285714285714286
glecestrescire	glecestrescira	0.9285714285714286
huntedonscira	huntendonscira	0.9285714285714286
confirmauerunt	confirmauerant	0.9285714285714286
huntedonscira	huntedonescira	0.9285714285714286
oxenefordshira	oxenfordshira	0.9285714285714286
oxenefordshira	oxenefordsira	0.9285714285714286
contemplatione	contemplationi	0.9285714285714286
arcidiaconatu	arcidiaconatum	0.9285714285714286
rationabititer	rationabibiter	0.9285714285714286
rationabititer	rationabiliter	0.9285714285714286
rouecestrensis	rouecestrensi	0.9285714285714286
recognoscendam	recognoscendum	0.9285714285714286
estmolendinum	westmolendinum	0.9285714285714286
congregatione	congregationem	0.9285714285714286
anatematizamus	anatematizatus	0.9285714285714286
malmesberiensi	malmesberiense	0.9285714285714286
arcidiaconatu	arcidiaconatus	0.9285714285714286
rouecestrensis	roucestrensis	0.9285714285714286
glecestriensi	glecestriensis	0.9285714285714286
purificatione	purificationem	0.9285714285714286
oxenefordscira	oxenefordshira	0.9285714285714286
acquietationem	adquietationem	0.9285714285714286
confirmauerant	confirmauerunt	0.9285714285714286
confirmauerant	confirmauerat	0.9285714285714286
constantiensis	constantientis	0.9285714285714286
acquietationem	aquietationem	0.9285714285714286
instaurationem	instauratione	0.9285714285714286
congregationem	congregationum	0.9285714285714286
saresberiensis	sarisberiensis	0.9285714285714286
confirmationem	confirmationes	0.9285714285714286
arcidiaconalia	arcidiaconali	0.9285714285714286
conprehendimus	comprehendimus	0.9285714285714286
acquietatione	acquietationem	0.9285714285714286
constabularii	conestabularii	0.9285714285714286
beremundeseiam	bermundeseiam	0.9285714285714286
constabularii	constabulariis	0.9285714285714286
beremundeseiam	beremundeseia	0.9285714285714286
oxenefordsire	oxenefordesire	0.9285714285714286
oxenefordsire	oxenefordsirie	0.9285714285714286
hinfangenetof	hinfangeneteof	0.9285714285714286
confirmationem	confirmationum	0.9285714285714286
confirmationem	confirmatione	0.9285714285714286
constitutionis	constitutioni	0.9285714285714286
wigornensibus	wigorniensibus	0.9285714285714286
conuentionaui	conuentionauit	0.9285714285714286
congregationem	congregatione	0.9285714285714286
presentationem	presentatione	0.9285714285714286
oxenefordsire	oxenefordscire	0.9285714285714286
glecestrascira	glecestrasira	0.9285714285714286
bristelmetonam	bristelmetona	0.9285714285714286
teokesmarescum	teokemarescum	0.9285714285714286
malmesbiriensi	malmesberiensi	0.9285714285714286
constantinensi	constantiensi	0.9285714285714286
berkelehernese	berkelhernese	0.9285714285714286
prenominatorum	prenominatarum	0.9285714285714286
licesfedensis	licesfeldensis	0.9285714285714286
hinfangeneteof	infangeneteof	0.9285714285714286
uicecomitibis	uicecomitibiis	0.9285714285714286
hinfangeneteof	hinfangenetof	0.9285714285714286
infangheneteof	infanghenteof	0.9285714285714286
infangheneteof	infangeneteof	0.9285714285714286
infangheneteof	infangueneteof	0.9285714285714286
escambiauerunt	excambiauerunt	0.9285714285714286
ierisolimitani	ierosolimitani	0.9285714285714286
infangheneteof	infangneneteof	0.9285714285714286
ierisolimitani	ierusolimitani	0.9285714285714286
salesboriensis	salesberiensis	0.9285714285714286
calumniabatur	calumpniabatur	0.9285714285714286
quotienscumque	quotienscunque	0.9285714285714286
oxenefordesire	oxenefordsire	0.9285714285714286
infangneneteof	infangeneteof	0.9285714285714286
restaurationem	restauratione	0.9285714285714286
quotienscumque	quocienscumque	0.9285714285714286
renuntiationem	renuntiatione	0.9285714285714286
ierusolimitani	ierosolimitani	0.9285714285714286
sabrictesword	sabrictesworde	0.9285714285714286
rouecestriensi	rouecestrensi	0.9285714285714286
ierosolimitan	ierosolimitano	0.9285714285714286
saresberiensem	saresburiensem	0.9285714285714286
sarisburiensis	sarisberiensis	0.9285714285714286
sarisburiensis	sarisburiensi	0.9285714285714286
sarisburiensis	saresburiensis	0.9285714285714286
serisberiensis	seriberiensis	0.9285714285714286
sabrictesworde	sabrictesword	0.9285714285714286
ierosolimitan	ierosolimitani	0.9285714285714286
ierusolimitani	ierusalimitani	0.9285714285714286
infangneneteof	infangheneteof	0.9285714285714286
serisberiensis	seresberiensis	0.9285714285714286
wigorniensibus	wigornensibus	0.9285714285714286
sustentationis	sustentationi	0.9285714285714286
infangneneteof	infangnenetef	0.9285714285714286
sabrictesworde	sebrictesworde	0.9285714285714286
constitueremus	constituerimus	0.9285714285714286
sarisberiensis	salisberiensis	0.9285714285714286
renuntiationis	renuntiationi	0.9285714285714286
glocestriensi	glowcestriensi	0.9285714285714286
contestabatur	contestabantur	0.9285714285714286
saresburiensem	saresberiensem	0.9285714285714286
contradictione	contraditione	0.9285714285714286
salesboriensis	salesbiriensis	0.9285714285714286
uicecomitatuum	uicecomitatum	0.9285714285714286
presentauerint	presentauerunt	0.9285714285714286
confortauerint	comfortauerint	0.9285714285714286
confirmationis	confirmationi	0.9285714285714286
supramemoratis	supramemoratas	0.9285714285714286
conuersationem	conuersatione	0.9285714285714286
conseruationem	conseruatione	0.9285714285714286
calumpniabitur	calumpniabatur	0.9285714285714286
confirmationis	confirmationes	0.9285714285714286
oxenefordsirie	oxenefordsire	0.9285714285714286
esterlinghorum	esterlingorum	0.9285714285714286
colecestrensi	colecestriensi	0.9285714285714286
esterlinghorum	esterlinggorum	0.9285714285714286
arcidiaconatum	arcidiaconatus	0.9285714285714286
infangeneteofh	infangeneteof	0.9285714285714286
uictoriosisimi	uictoriosisimo	0.9285714285714286
presentatione	presentationem	0.9285714285714286
hertfordscira	hertfordescira	0.9285714285714286
sarisberiensis	sarisburiensis	0.9285714285714286
glowcestriensi	glocestriensi	0.9285714285714286
glowcestriensi	gloucestriensi	0.9285714285714286
conestabulatum	constabulatum	0.9285714285714286
garantizabimus	garentizabimus	0.9285714285714286
sarisberiensis	serisberiensis	0.9285714285714286
hertfordscira	heortfordscira	0.9285714285714286
constitueremus	constitueramus	0.9285714285714286
garantizabimus	warantizabimus	0.9285714285714286
decemnouenalis	decemnouenali	0.9285714285714286
sarisberiensis	sarisberiensi	0.9285714285714286
licesfeldensis	licisfeldensis	0.9285714285714286
licesfeldensis	licesfeldenses	0.9285714285714286
sarisberiensis	saresberiensis	0.9285714285714286
glecestersira	glecesterscira	0.9285714285714286
berkelhernese	berkelehernese	0.9285714285714286
licesfeldensis	licesfedensis	0.9285714285714286
licesfeldensis	licesfeldensi	0.9285714285714286
ierosolimitan	ierosolimitane	0.9285714285714286
iurisdictione	iurisdictionem	0.9285714285714286
oxenfordshira	oxenefordshira	0.9285714285714286
decemnouenali	decemnouenalis	0.9285714285714286
conestabularii	constabularii	0.9285714285714286
instauratione	instaurationem	0.9285714285714286
constitutioni	constitutionis	0.9285714285714286
sanctimoniali	sanctimonialis	0.9285714285714286
presentauerunt	presentauerint	0.9285714285714286
saresberiensi	saresberiensis	0.9285714285714286
ierosolimitane	ierosolimitan	0.9285714285714286
administrandam	administrandum	0.9285714285714286
circumiacente	circumiacentem	0.9285714285714286
supramemoratum	supramemoratam	0.9285714285714286
infanghenteof	infangheneteof	0.9285714285714286
cantuariensis	cantuariensius	0.9285714285714286
ierosolimitane	ierosolomitane	0.9285714285714286
ierosolimitano	ierosolimitani	0.9285714285714286
ierosolimitano	ierosolimitane	0.9285714285714286
ierosolimitano	ierosolimitan	0.9285714285714286
saresbiriensis	salesbiriensis	0.9285714285714286
wirecestrensi	wirecestrensis	0.9285714285714286
ierosolomitane	ierosolimitane	0.9285714285714286
contentionibus	conuentionibus	0.9285714285714286
ierusalemitani	ierusalimitani	0.9285714285714286
lincolniascira	lincolniescira	0.9285714285714286
contestabantur	contestabatur	0.9285714285714286
rouecestrensi	rouecestriensi	0.9285714285714286
kinewaldgraues	kinewaldgraue	0.9285714285714286
constantiensis	constanciensis	0.9285714285714286
nortumberland	nortumberlanda	0.9285714285714286
constantiensis	constantiensi	0.9285714285714286
cistercensium	cisterciensium	0.9285714285714286
glecestrasira	glecestrascira	0.9285714285714286
lincolniascira	lincoliascira	0.9285714285714286
perturbatione	perturbationem	0.9285714285714286
garentizabimus	warentizabimus	0.9285714285714286
recognitionem	recongnitionem	0.9285714285714286
oxenefordscira	oxenefordsira	0.9285714285714286
licesfeldensi	licesfeldensis	0.9285714285714286
restauratione	restaurationem	0.9285714285714286
seriberiensis	serisberiensis	0.9285714285714286
renuntiatione	renuntiationem	0.9285714285714286
conestabularii	conestabulario	0.9285714285714286
conquerebatur	conquerebantur	0.9285714285714286
confirmationes	confirmationis	0.9285714285714286
saresbiriensis	saresbiriensi	0.9285714285714286
presentationis	presentationi	0.9285714285714286
infangeneteof	infangueneteof	0.9285714285714286
adquietationem	adquietatione	0.9285714285714286
adquietationem	aquietationem	0.9285714285714286
adquietationem	acquietationem	0.9285714285714286
congregationi	congregationis	0.9285714285714286
contingentibus	continentibus	0.9285714285714286
constabulariam	constabularium	0.9285714285714286
conuentionibus	contentionibus	0.9285714285714286
circumiacentem	circumiacente	0.9285714285714286
infangeneteof	infangneneteof	0.9285714285714286
uicecomitatum	uicecomitatuum	0.9285714285714286
uicecomitibiis	uicecomitibis	0.9285714285714286
teokemarescum	teokesmarescum	0.9285714285714286
ierusolimitani	ierisolimitani	0.9285714285714286
sustentationi	sustentationis	0.9285714285714286
serisberiensis	sarisberiensis	0.9285714285714286
infangneneteof	infangueneteof	0.9285714285714286
constanciensi	constanciensis	0.9285714285714286
infangeneteof	hinfangeneteof	0.9285714285714286
infangeneteof	infangenehteof	0.9285714285714286
legrecestrensi	legrcestrensi	0.9285714285714286
satisfactionem	satisfactione	0.9285714285714286
confirmationes	confirmatione	0.9285714285714286
seresberiensi	seresberiensis	0.9285714285714286
confirmationes	confirmationem	0.9285714285714286
ierosolimitane	ierosolimitano	0.9285714285714286
infangeneteof	infangeneteofh	0.9285714285714286
hortfordscira	heortfordscira	0.9285714285714286
ierosolimitane	ierosolimitani	0.9285714285714286
statfordescira	statfordescir	0.9285714285714286
saresbiriensis	saresburiensis	0.9285714285714286
importabiliter	inportabiliter	0.9285714285714286
saresbiriensis	saresberiensis	0.9285714285714286
constabulariis	constabularii	0.9285714285714286
constabulariis	constabularius	0.9285714285714286
infangeneteof	infangheneteof	0.9285714285714286
