Word,Replacement
conceserant,conceserat
concesserunt,conceserant
conseserunt,consenserunt
concederunt,conceserunt
conceperunt,conceserant
concesurunt,conceserunt
comceserunt,conceserunt
concenserunt,consenserunt
cunceserunt,conceserunt
concesernt,conceserunt
monasteriis,monasterii
monasteriia,monasteria
incarnacione,incarnatione
incarnations,incarnationis
incarnationi,incarnationis
incarnationem,incarnacione
incarnatiione,incarnatione
incarnationes,incarnationis
incarnatone,incarnatione
lncarnatione,incarnatione
incernatione,incarnatione
religiosius,religiosus
regligiosis,religiosis
confirmauit,confirmaui
iustitiariis,iusticiariis
iusticiarii,iustitiariis
iusticiarios,iustitiariis
iusticiarius,iusticiariis
iusticariis,iusticiarii
iustriciariis,iusticiariis
iusticiaris,iusticiario
servientibus,seruientibus
seruentibus,seruantibus
seruienribus,seruientibus
seruinentibus,seruientibus
antecessorum,antecesorum
antecesorem,antecesores
antecesorm,antecesorum
anticesorum,antecesorum
antecesoram,antecesorum
concessimus,concesimus
consuetudininbus,consuetudinibus
trinintatis,trininatis
confirmatus,confirmatas
confirmemus,confirmetur
comfirmamus,confirmamus
recongnouit,recognouit
incarnacionis,incarnationis
inkarnationis,incarnationis
incarnatiomis,incarnations
incarnationiis,incarnationis
incarnatonis,incarnationis
permisionem,permisione
permissione,permisionem
permisiones,permisionis
concesionem,concesione
concesiones,concesionis
concessione,concesionem
conscesione,concesione
miserationem,miseratione
miserationes,miserationis
miceratione,miseratione
pontificatu,pontificatus
pontificatum,pontificatus
pontifcatus,pontificatus
pontificatui,pontificatus
pontificatos,pontificatus
ponificatus,pontificatus
parisienses,parisiensis
parisiensi,parisiensis
parisensis,parisiensis
parisiensib,parisiensis
perisiensis,parisiensis
parisienis,parisiensis
prarisiensis,parisiensis
confirmaset,confirmase
confirmasse,confirmase
confirmasem,confirmase
tenementium,tenementum
tensementum,tensamentum
uenerabili,uenerabilis
uenerabiles,uenerabilem
venerabilis,venerabili
uenerabilia,uenerabilis
uenerabilies,uenerabilis
uenerebilis,uenerabilis
uenerabilii,uenerabilis
contraditione,contradictione
contradictioni,contradictionis
contradictionem,contraditione
contradiccione,contradictione
contradicctione,contradictione
contradictiones,contradictionis
contadictione,contradictione
canonicorun,canonicorum
canonicirum,canonicorum
kanonicorum,canonicorum
arcidiaconis,arcidiaconus
arcidiaconum,arcidiaconus
archidiaconus,arcidiaconus
arcideaconus,arcidiaconum
archdiaconus,arcidiaconus
arcdiaconus,arcidiaconis
arciadiaconus,arcidiaconus
liberatatibus,libertatibus
liberatibus,libertibus
cluniacensi,cluniacensis
cluniacenses,cluniacensem
clugniacensis,cluniacenses
cluniacensia,cluniacensis
cluniancensis,cluniacensis
clunicensis,cluniacensi
cluniasensis,cluniacensi
cruniacensis,cluniacensis
archiepiscopus,arciepiscopus
arciepiscopis,arciepiscopus
arciepiscopum,archiepiscopus
arciepiscopos,archiepiscopus
arhciepiscopus,arciepiscopus
archepiscopus,archiepiscopus
arcipiscopus,arciepiscopus
ecclesiarum,eclesiarum
eclesiarium,eclesiarum
eeclesiarum,eclesiarum
contingerit,contingeret
contigerint,contigerit
sempiternum,sempiternam
sempiterna,sempiternam
sepiternam,sempiternam
sempiternama,sempiternamad
sempiteram,sempiternam
monastarium,monasterium
esterlingorum,sterlingorum
sterelingorum,sterelinguorum
steriingorum,sterlingorum
sterlinggorum,esterlingorum
stelingorum,stelinorum
sterlinorum,stelinorum
sterlengorum,sterlingorum
sterligorum,sterlingorum
sterlingarum,sterlinguarum
norwicensi,norwicensis
norwicenses,norwicensem
norwicencis,norwicensis
nortwicensis,norwicensis
nowicensis,norwicensis
norewicensis,norwicensi
noruicensis,noruicensi
norwicesis,norwicensis
noriicensis,norwicensis
continentur,continetur
contineatur,continentur
continuetur,continentur
excomunicationi,excomunicatione
excomunicationes,excomunicatione
excomuncationis,excomunationis
excumunicationis,excomunicationis
excmunicationis,excomunicationis
consuetudine,consuetudinem
consuetudines,consuetudinem
consuetudinum,consuetudinem
consuetundinem,consuetudinem
oonsuetudinem,consuetudinem
molendinium,molendinum
moldendinum,molendinum
warentizabimus,warantizabimus
garantizabimus,warantizabimus
gwarantizabimus,warantizabimus
warantizabiumus,warantizabimus
waurantizabimus,warantizabimus
warantazabimus,warantizabimus
warauntizabimus,warantizabimus
waranticabimus,warentizabimus
warantisabimus,warantizabimus
prsepositus,prepositus
prespositus,prepositus
indictiones,indictionis
indicitione,indictione
arciepiscopi,arciepiscopo
archiepiscopo,archiepiscopus
arciepiscope,arciepiscopo
arcepiscopo,arciepiscopi
arhciepiscopo,arciepiscopo
arciepiscop,arciepiscopo
arciespiscopo,arciepiscopo
spetialiter,specialiter
specialter,specialiter
specialitur,specialiter
specialater,specialiter
recognitionem,recognitione
recongnitione,recognitionem
recognitiones,recognitionis
recognitioni,recongnitione
recognistione,recognitione
aposolorum,apostolorum
apostlorum,apostolorum
apostulorum,apostolorum
supradicti,supradictis
supradictus,supradictum
supradictas,supradicta
supradictos,supradicto
supradiclis,supradictis
supredictis,supredicti
wesmonasterium,westmonasterium
westmonasteriurm,westmonasterium
uestmonasterium,westmonasterium
supradictam,supradictum
denariorium,denariorum
denariourum,denariorum
impressione,impresione
impresionem,impresione
impresiones,impresione
uenditione,uenditionem
uenditiones,uenditionis
uenditionum,uenditionem
uinditionem,uenditionem
uendationem,fundationem
uendilionem,uenditionem
uendictionem,uenditionem
ueaditionem,uenditionem
possesionem,possessionem
apositionem,apositione
carnotensi,carnotensis
carnotenses,carnotensem
carnolensis,carnotenses
mcarnotensis,carnotensis
honorificem,honorificam
honorifiice,honorifice
cancelariuo,cancelarius
canceliario,cancelario
cancelarios,cancelarius
septuagesimi,septuagesimo
septuagesime,septuagesimo
septuagesima,septuagesimo
septurgesimo,septuagesimo
sextuagesimo,septuagesimo
protestatem,protestante
recongnouerunt,recognouerunt
recognauerunt,recognouerunt
reoognouerunt,recognouerunt
recognouerint,recognouerit
recognouerant,recognouerunt
ecognouerunt,cognouerunt
possidendam,posidendam
poscidendam,posidendam
sposidendam,posidendam
presentatione,presentationem
presentationes,presentationis
presentationum,presentationem
quibuscunque,quibuscumque
qubuscumque,quibuscumque
hereditatem,hereditate
hereditates,hereditatis
pontificalis,pontificali
pontificale,pontificalem
pontificati,pontificali
pontificiali,pontificali
pontificalia,pontificali
pontifical,pontificali
ordinatione,ordinationi
ordinationes,ordinationem
ordinationum,ordinationem
quinquagesima,quinquagesimo
quinquagesimi,quinquagesimo
qunquagesimo,quinquagesimo
quinquagesim,quinquagesimo
antecesores,antecesoris
antecesori,antecesoris
antecessoris,antecesori
antecesoria,antecesoris
autecesoris,antecesoris
anticesoris,antecesoris
precipiemus,recipiemus
nonaggesimo,nonagesimo
exelentisimo,excelentisimo
excelentisimi,excelentisimo
excelentisime,excelentisimo
excelentisima,excelentisimo
cantuariensi,cantuariensis
cantuarienses,cantuariensem
cantuarensis,cantuariensi
cantuariensius,cantuariensibus
canturiensis,cantuariensis
cantuariencis,cantuariensis
cantuarielsis,cantuariensis
kantuariensis,cantuariensis
vicecomitibus,uicecomitibus
uicecomitibis,uicecomitibiis
uicecomtibus,uicecomitibus
wicecomitibus,uicecomitibus
latitudinem,latitudine
latitudines,latitudinis
constitutis,constituti
constitutum,constitutus
constitutos,constitutus
constitutas,constituta
constitutes,constitute
constitumus,constituimus
constitutuis,constitutus
cunstitutus,constitutus
coustitutus,constitutus
confirmabimus,confirmauimus
confirmavimus,confirmauimus
religiosarum,religiosorum
religiororum,religiosorum
quadragesima,quadragesimo
quadragesime,quadragesimo
quatragesimo,quadragesimo
quadragesimi,quadragesimo
quadragessimo,quadragesimo
quadrigesimo,quadragesimo
appendiciis,apendiciis
episcopalia,episcopali
episcopalis,episcopali
compositione,compositionem
conpositionem,compositione
compositiones,compositionis
composisionem,compositionem
compositonem,compositionem
recongnitio,recognitio
quinquagenta,quinquaginta
quinquiginta,quinquaginta
quinquaginto,quinquaginta
octuogesimo,octuagesimo
octoagesimo,octuagesimo
sustentatione,sustentationem
sustentacionem,sustentationem
sustantationem,sustentationem
sustentantionem,sustentationem
iustentationem,sustentationem
suslentationem,sustentationem
substentationem,sustentatione
lincolniensi,lincolniensis
lincoliensis,lincolniensi
lincolnienses,lincoliensis
lincolnensis,lincoliensis
lincolniesis,lincolniensis
linconiensis,lincolniensis
contempendo,contempnendo
controuersiam,controuersia
controuersie,controuersia
controuersias,controuersiis
contrauersia,controuersie
irationabiliter,rationabiliter
rationabibiter,rationabiliter
rationabititer,rationabiliter
hereditarie,hereditario
hereditaria,hereditario
hereditarii,hereditariis
hereditagio,hereditarii
ereditario,hereditario
hereditaris,hereditariis
hereditorio,heremitorio
hereditarios,hereditariis
hereditatio,hereditatis
consueuerant,consueuerunt
consueuerint,consueuerunt
consuluerunt,consueuerunt
consueruerunt,consueuerunt
consueuereunt,consueuerunt
apostolicam,apostolica
apostolicas,apostolica
predecesorem,predecesorum
predecessorum,predecesorum
predicesorum,predecesorum
presbiteris,presbiteri
presbiterii,presbiteri
presbiterio,presbitero
longitudinem,longitudine
longitudines,longitudinis
longitndine,longitudine
parsiensium,parisiensium
parisensium,parisiensium
parisiensum,parisienses
parisieusium,parisiensium
sacramantum,sacramentum
sacrametum,sacramentum
constitutio,constitutos
confirmato,confirmatas
confirmatis,confirmatas
confirmati,confirmatio
confirmacio,confirmatio
inpedimento,impedimento
impedimenta,impedimento
impedimenti,inpedimento
impedimente,impedimento
capitalibas,capitalibus
capitulibus,capitalibus
aurelianensi,aurelianensis
aurelianenses,aurelianensi
anrelianensis,aurelianensis
aureliacensis,aurelianensis
aurelanensis,aurelianensis
aurelienensis,aurelianensis
aurclianensis,aurelianensis
eboracensi,eboracensis
eboracenses,eboracensem
eboracencis,eboracensis
eborecensis,eboracensis
eboracenis,eboracensis
heboracensis,eboracensis
eboraceneis,eboracensis
eborasensis,eboracensis
boracensis,eboracensis
uniuersitati,uniuersitatis
universitatis,uniuersitatis
vniuersitatis,uniuersitatis
uniuersatatis,uniuersitatis
uniuersitatas,uniuersitatis
naiuitatis,natiuitatis
nativitatis,natiuitatis
natiuitati,natiuitatis
natiuitates,natiuitatem
aduocationem,aduocatione
aduocationes,aduocationis
advocatione,aduocatione
aduocation,aduocatione
conuentione,conuentionem
conuentiones,conuentionis
contentionem,conuentione
conuentionum,contentionem
conucntionem,conuentionem
couentionem,conuentionem
presbiteros,presbitero
securitate,securitatem
securitates,securitatem
sexaggesimo,sexagesimo
tesaurarios,tesaurarius
teshaurario,tesaurario
tesauarario,tesaurario
nihilominus,nicilominus
nichilominus,nicilominus
nicilhominus,nicilominus
nicolominus,nicilominus
micilominus,nicilominus
nicilobminus,nicilominus
nicelominus,nicilominus
nicilomimus,nicilominus
premiserunt,promiserunt
confirmatione,confirmationem
confirmationes,confirmationis
confirmacionem,confirmatione
confirmationum,confirmationem
benedictione,benedictionem
benedictiones,benedictionis
benedictionum,benedictionem
benediccionem,benedictione
benedictonem,benedictionem
bendictionem,benedictionem
beneditionem,benedictionem
intinerantibus,itinerantibus
niuernensi,niuernensis
niuernenses,niuernensem
neuernensis,niuernensis
surpradicte,supradicte
pentecostes,pentecosten
pentecoste,pentecosten
pentecostem,pentecosten
pentcosten,pentecosten
pentecohten,pentecosten
promiserant,promiserat
promiserint,promiserit
cepiscoporum,episcoporum
cancellarii,cancelarii
cancelariis,cancelarius
misericordiam,misericordia
misericordie,misericordia
misericordi,misericordia
misericordis,misericordes
misericordian,misericordia
misercordia,misercordias
miscericordia,misericordia
misericordias,misercordias
aniuersarii,aniuersario
aniuersaria,aniuersario
aniuersarios,aniuersarii
aniuersaric,aniuersario
garantizabunt,warantizabunt
warentizabunt,garantizabunt
uarantizabunt,garantizabunt
clamauerint,clamauerit
clamauerant,clamauerat
clamaverunt,clamauerunt
clamuerunt,clamauerunt
aclamauerunt,clamauerunt
omnipotenti,omnipotentis
omnipotentia,omnipotentis
omnipotentie,omnipotenti
omnispotentis,omnipotentis
omnipotentes,omnipotenti
attendentes,atendentes
adtendentes,atendentes
actendentes,atendentes
promitente,promitentes
profitentes,promitentes
promictentes,promitentes
promitentem,promitentes
promiltentes,promitentes
pomitentes,promitentes
promisentes,promitentes
infringeret,infringerent
corporaliber,corporaliter
corporatiter,corporaliter
percipiendas,percipiendos
percipiendis,percipiendos
percipiendo,percipiendis
percepiendos,percipiendos
percipidendos,percipiendos
percipendos,percipendor
conditionem,conditione
conditiones,conditionis
condictione,condicione
premissorum,premisorum
uicecomitis,uicecomiti
laudauerint,laudauerit
laudaverunt,laudauerunt
laudauerant,laudauerat
uerterentur,uerteretur
venerabilibus,uenerabilibus
procuratores,procuratorem
procuratore,procurator
procuratorum,procuratorem
predecesores,predecesoris
predecesori,predecesor
predecessoris,predecesori
predecesors,predecesor
predicesoris,predecesoris
perseuerent,perseueret
perserueret,perseueret
soluctionem,solutionem
preiuditiuma,preiuditium
prediuditium,preiuditium
fidelitate,fidelitatem
fidelitates,fidelitatis
fidelitalem,fidelitatem
bartholomei,bartolomei
bartolomeii,bartolomei
competentis,competenti
competentia,competenti
posesionibuis,posesionibus
pertinentes,pertinente
pertinentem,pertinente
pertinentie,pertinencia
roboravimus,roborauimus
robrauimus,roborauimus
roborarimus,roboraremus
septempbris,septembris
procuratori,procuratores
procurators,procuratos
natiuitate,natiuitatem
natiuatatem,natiuitatem
occidentali,ocidentali
ocidentalis,occidentali
ecularibus,secularibus
secularius,secularibus
socularibus,sotularibus
sectantibus,spectantibus
spectatibus,spectantibus
dominationis,dominationi
dominatione,dominationem
nominationi,dominationis
dominacioni,dominationis
dominationie,dominationi
clamationem,clamatione
clamationes,clamationis
aclamatione,clamatione
clameatione,clamatione
clamantione,clamatione
ordinationis,ordinationi
inviolabiliter,inuiolabiliter
inuiolabilter,inuiolabiter
presumpserint,presumpserit
presumserit,presumpserint
presumpserat,presumpserit
presumpseris,presumpserit
presumpserim,presumpserit
asiamentis,aisiamentis
eisiamentis,aisiamentis
aisamentis,aisiamentis
aisimentis,aisiamentis
aiseamentis,aisiamentis
aisiamenti,aisiamentis
satisfactam,satisfacta
saisfactum,satisfactum
satifactum,satisfactum
porsonaliter,personaliter
uicecomitem,uicecomite
uicecomites,uicecomite
supradicum,supradictum
supradictu,supradictum
autisiodorensi,autisiodorensis
altisiodorensis,autisiodorensi
autisiodorenses,autisiodorensem
autisidorensis,altisiodorensis
antisiodorensis,autisiodorensis
autisiodorersis,autisiodorensis
gloucestria,gloucestrie
glocestrie,gloucestrie
gloucestre,gloucestrie
glouecestrie,gloucestria
glaucestrie,gloucestrie
gloocestrie,gloosestrie
cancelarium,cancelarius
cancellarius,cancelarius
canelarius,cancelarius
cancelarias,cancelaria
candelarius,cancelarius
purificationes,purificationem
parificationis,purificationis
bartolomeum,bartolomeus
bertolomeus,bartolomeum
bartolmeus,bartolomeus
batolomeus,bartolomeus
bartolomeusa,bartolomeus
bartolomenus,bartolomeus
bartolomens,bartolomeus
bartolometus,bartolomeus
expedicione,expeditione
expeditionem,expedicione
expeditiones,expeditionis
expoeditione,expeditione
expenditione,expeditione
expeditioni,expeditionis
reclamationem,reclamatione
reclaratione,reclamatione
reclamationes,reclamationis
declamatione,reclamatione
reclamations,reclamationis
concedentes,concedente
concedenter,concedente
obedientia,obedientiam
obedienciam,obedientiam
hobedientiam,obedientia
obedientias,obedientiis
oboedientiam,obedientia
obfdientiam,obedientiam
adquietabimus,acquietabimus
aquietabimus,acquietabimus
atquietabimus,acquietabimus
percipiente,percipientes
retinemento,retenemento
retenimento,retenemento
reuerentia,reuerentiam
reuerenciam,reuerencia
reverentiam,reverentia
promentibus,prouentibus
prouectibus,profectibus
prouantibus,prouentibus
pertinatiter,pertinaciter
uenerabile,uenerabilem
venerabilem,venerabile
uenerabilum,uenerabilium
promittimus,promitimus
possidendum,posidendum
bartholomeo,barlholomeo
lugdunensi,lugdunensis
lugdunenses,lugdunensem
lurdunensis,lugdunensis
ludunensis,laudunensis
prenominati,prenominatis
prenominatus,prenominatis
prenominatas,prenominatis
prenominatos,prenominati
prenominatio,prenominati
pronominatis,prenominati
prenominatim,prenominatus
solemniter,solempniter
sollempniter,solempniter
solempiter,solempniter
satisfactionem,satisfactione
satisfaccione,satisfactionem
satisfacione,satisfactione
satisfacsione,satisfactione
satifactione,satisfactione
satisfatione,satisratione
satisfactiones,satisfactionis
confirmationi,confirmationis
confirmacionis,confirmationis
confirmations,confirmationis
testamentis,testamenti
parisiensinbus,parisiensibus
contentionis,conuentionis
conuentioni,conuentione
concentionis,conceptionis
cenuentionis,conuentionis
concesioni,concesionis
concessionis,concesionis
confesionis,concessionis
concesioinis,concesionis
concesionus,concesinus
ouentiones,obuentiones
obuentionem,obuentionum
obuentione,obuentiones
mesericorditer,misericorditer
imisericorditer,inmisericorditer
exsoniensis,exoniensis
compositioni,compositionis
conpositionis,compositionis
composicionis,compositionis
oompositionis,compositionis
cexecutores,executores
exsecutores,executores
defunctorem,defunctorum
rationibus,orationibus
ortationibus,ortacionibus
inconcussum,inconcusum
aniuersarius,aniuersarii
anniuersarium,aniuersarium
aniuersariam,aniuersarium
aniuersorium,aniuersarium
consecrationes,consecrationem
consecrationi,consecrationis
consecracionis,consecrationis
camberarius,cambelarius
cluniacense,cluniacensi
clugniacensem,cluniacenses
adstantibus,astantibus
burgencibus,burgensibus
burgensibis,burgensibus
difficultate,dificultate
dificultatem,dificultate
dificulatate,dificultate
difcultate,dificultate
consencientibus,consentientibus
consensientibus,consencientibus
consentientibust,consentientibus
consientientibus,consentientibus
dignoscitur,dinoscitur
disnoscitur,dinoscitur
sustinebint,sustinebunt
substinebit,sustinebit
exceptionis,exceptioni
amiabiliter,amabiliter
amicabliter,amicabiliter
sacrosancti,sacrosancte
sacrosanctas,sacrosanctis
sancrosanctis,sacrosanctis
sacrasanctis,sacrosanctis
sacrosantis,sacrosanctis
necesitatem,necesitate
necesitates,necesitatis
necessitate,necesitatem
persoluente,persoluentes
tenenbuntur,tenebuntur
cabilonensi,cabilonensis
kabilonensis,cabilonensis
cabilonenses,cabilonensem
cabilionensis,cabilonensis
nuncupantur,nuncupatur
arcipresbiteri,arcipresbiter
arcipresbitero,arcipresbiter
arcipresbitere,arcipresbiter
quatordecim,quatuordecim
quatuordecimo,quatuordecim
contumacia,contumaciam
contumacias,contumaciam
contumatiam,contumaciam
lingonensi,lingonensis
lingonenses,lingonensem
linguonensis,lingonensi
linconensis,lincoliensis
lingoniensis,lingonensis
confirmavit,confirmauit
suficientem,suficienter
suficientes,suficienter
sufitienter,suficientem
suficiente,suficienter
sufficienter,suficientem
sificienter,suficienter
episcopatu,episcopatus
episcopatum,episcopatus
episcopatui,episcopatus
episcopalus,episcopatus
episcopatis,episcopatui
eclesiastica,eclesiasticam
eclesiasticum,eclesiasticam
eclesiasticas,eclesiasticis
ecclesiasticam,eclesiasticas
clesiasticam,eclesiasticam
partionibus,gartionibus
episcopatibus,episcopalibus
excelentiam,excelentia
excellentia,excelentiam
redemptionem,redemptione
redempcione,redemptionem
reemptione,redemptione
redemtione,redemptionem
redemptiones,redemptionis
retemptione,redemptione
tendentibus,tenentibus
uenditioni,uenditionis
uinditionis,uenditionis
possidendas,possidendam
appenditiis,apenditiis
aprenditiis,apenditiis
precentorem,precentore
precentorie,precentoris
precentores,precentoris
wintoniensi,wintoniensis
wintaniensis,wintoniensis
wyntoniensis,wintoniensis
wiltoniensis,wiltuniensis
wuintoniensis,uuintoniensis
wintonienses,wintoniensem
wentoniensis,wintoniensi
uintoniensis,wintaniensis
competentem,competenter
competentes,competenter
competente,competenter
conpetenter,competentem
competentur,competenter
uertebantur,uertebatur
constituemus,constituimus
constitimus,constituimus
constituimur,constituitur
testamenum,testamentum
herefordensi,herefordensis
herfordensis,herefordensi
herefordiensis,herenfordiensis
herifordensis,herefordensis
herefordenses,herefordensem
temptaverit,temptauerit
atemptauerit,temptauerit
temptauerint,temptaverit
temtauerit,atemptauerit
temptagerit,temptauerit
temptaberit,temtaberit
aliquatinus,aliquatenus
aliquateus,aliquatenus
benefitioum,benefitiorum
seruientum,seruientium
servientium,serviencium
seruiencium,serviencium
seruentium,seruientium
seuientium,seruientium
confirmaret,confirmare
confirmarem,confirmare
prenominato,prenominati
prenominata,prenominati
prenominate,prenominati
prenominat,prenominati
quictauerunt,quitauerunt
quitauerant,quitauerat
quitauerint,quitauerunt
quietauerunt,quitauerunt
garantizare,warantizare
warentizare,garantizare
warantizaret,warantizare
warantizari,warantizare
warantizase,warantizare
gwarantizare,garantizare
gislebertus,gilebertus
glilebertus,gilebertus
obseruandam,obseruanda
obseruandas,obseruandis
prescriptam,prescripta
prescriptas,prescriptis
quandocunque,quandocumque
quantocumque,quantascumque
presbiterium,presbiterum
prebiterum,presbiterum
presibiterum,presbiterum
presbiteium,presbiterum
prcsbiterum,presbiterum
presbiterem,presbiterum
cuiuscunque,cuiuscumque
cujuscumque,cuiuscunque
cuiscumque,cuiuscumque
interfuerint,interfuerunt
interfuerant,interfuerunt
constabularii,constabulario
constabularios,constabularius
conestabulario,constabularii
constabularie,constabulario
constabelario,constabulario
canstabulario,constabulario
constabulari,constabulario
nortmanorum,normanorum
normannorum,normanorum
normanorium,normanorum
provenientibus,prouenientibus
prouienientibus,prouenientibus
prouenientius,prouenientium
preuenientibus,prouenientibus
dunelmensi,dunelmensis
dunolmensis,dunelmensis
dunelmenses,dunolmensis
dunelmiensis,dunelmensis
dunhelmensis,dunelmensi
duneimensis,dunelmensis
recordationi,recordationis
godelfridus,godefridus
reuertentur,reuertetur
iurisdictione,iurisdictionem
iurisdictionis,iurisdictioni
iuridictioni,iurisdictionis
iurisditioni,iurisdictione
cirographum,cyrographum
cirograpium,cirograpum
confirmaverunt,confirmauerunt
confirmauerint,confirmauerit
confirmauerant,confirmauerunt
tradiderint,tradiderunt
tradiderant,tradiderat
requisitione,requisitionem
requisitiones,requisitionis
subscriptas,subscriptis
subscriptam,subscripta
consignauit,consignaui
sanctimonalibus,sanctimonialibus
satisfatiendum,satisfaciendum
confectioni,confectionis
confetionis,confectionis
confirmatam,confirmatum
confirmatas,confirmata
derelinquant,derelinquat
derelinquit,dereliquit
derelinquet,derelinquat
derelinquam,derelinquat
antecessoribus,antecesoribus
antesesoribus,antecesoribus
diminutionem,diminutione
diminuatione,diminutione
diminutone,diminutione
diminutioni,diminutionis
apelationem,apelatione
apelationes,apelatione
distringeret,distringere
destringere,restringere
spiritalibus,spiritualibus
spiritualibis,spiritualibus
aspiritualibus,spiritualibus
existencibus,existentibus
deuotiuonis,deuotionis
rationabile,rationabilem
rationabilis,rationabili
rationabilia,rationabili
irationabili,rationabilia
penitentiam,penitentia
poenitentia,penitentiam
penitentias,penitentiis
penitientia,penitentia
tesaurarium,tesaurarius
tesaurariis,tesaurarii
thesaurarius,tesaurarius
teshaurarius,tesaurarius
liberalite,liberaliter
literaliter,liberaliter
iustitiario,iustitiariis
iusticiari,iusticiario
iusticario,iusticiario
iusticiarie,iusticiare
ewangeliste,euangeliste
euuangeliste,euangeliste
euangelista,euuangeliste
euaungeliste,ewangeliste
evangeliste,euangelista
euangliste,euangeliste
signauimus,asignauimus
asignabimus,asignauimus
asingnauimus,asignauimus
adsignauimus,asignauimus
asigoauimus,asignauimus
privilegium,priuilegium
priuiliegium,priuilegium
presentarunt,presentabunt
presentabant,presentabunt
quitatione,quitationem
quietationem,quitationem
equitationem,quitationem
quictationem,quitatione
quitationes,equitationem
quitationum,quitationem
inquisitione,inquisitionem
inquisitiones,inquisitionem
inquisitionum,inquisitionem
instrumento,instrumenta
instrumenti,instrumentis
instruments,instrumentis
pertinencia,pertinenciis
pertinenti,pertinentia
pertinentiam,pertinentium
matisconensi,matisconensis
matisconenses,matisconensem
mastisconensis,masticonensis
matisgonensis,matisconensis
perseuerase,perseuerare
perseueraret,perseuerare
perseverare,perseuerare
perseuerarem,perseuerare
atestationes,atestatione
atestationem,atestationum
attestatione,atestatione
atestationi,atestationes
testatione,atestatione
eligentibus,exigentibus
unianimiter,unanimiter
inpresionem,inpresione
inpressione,inpresione
inprestione,inpresione
inpresiones,inpresione
quarterinum,quarteronum
buticulario,buticularii
bucticularii,buticularii
buticlarii,buticularii
buticalarii,buticularii
buticulari,buticularii
buticularia,buticularii
interuenientem,interueniente
interveniente,interueniente
interuenientes,interuenientis
siluanectensi,siluanectensis
siluanetensis,siluanectensis
siluanectenses,siluanectensem
siluatectensis,siluanectensis
coroboraui,corroboraui
corroboravi,corroboraui
corroborari,coroborari
conroboraui,corroboraui
corroborabi,coroborabi
priuilegii,priuilegiis
privilegiis,privilegii
preuilegiis,priuilegiis
proueniente,prouenientes
prouenientem,prouenientes
prouenientis,prouenientes
preuenientes,proueniente
prouenienties,prouenientes
deforciantes,deforciantem
deforcientem,deforciantes
defortiantem,deforciantes
deforciante,deforciate
diforciantem,deforciantem
laudentibus,laudantibus
landantibus,mandantibus
colecestria,colecestrie
colcestrie,colecestrie
colecestre,colecestrie
colocestrie,colecestrie
signatorum,asignatorum
asingnatorum,asignatorum
asignatarum,signatarum
asignaturum,asignatorum
pertinebant,pertinebat
hereditati,hereditatis
venerabilium,uenerabilium
uenerabilimum,uenerabilium
predecesore,predecesor
predecessor,predecesori
preceperunt,receperunt
constitutam,constituta
pontefracti,pontefracto
pontefrato,pontefracto
genitriscis,genitricis
sustinebant,sustinebat
recompensatione,recompensationem
